Date,Open,High,Low,Close,Volume,Symbol
2024-09-12,220.8444772424724,221.88666769221828,218.18442519080247,221.1124725341797,37455600,AAPL
2024-09-13,221.9164638014437,222.37303270856336,220.25889118684435,220.84449768066406,36766600,AAPL
2024-09-16,214.92882889414335,215.60377723416104,212.32832783334672,214.71047973632812,59357400,AAPL
2024-09-17,214.14471619981742,215.28615358843467,212.904016801209,215.17697143554688,45519300,AAPL
2024-09-18,215.9313221513165,221.05293280374121,215.92138686335736,219.04795837402344,59894900,AAPL
2024-09-19,223.31597824995185,228.11004268622213,222.95865620671253,227.16709899902344,66781300,AAPL
2024-09-20,228.2589097535001,231.3556905514529,225.92638886705737,226.5020751953125,318679900,AAPL
2024-09-23,225.64847983003366,227.74278104335218,224.12986496132828,224.7849578857422,54146000,AAPL
2024-09-24,226.94872814757065,227.64353192764617,224.05045616714196,225.67825317382812,43556100,AAPL
2024-09-25,223.25642645588798,225.59886774810047,222.35320871856098,224.6857147216797,42308700,AAPL
2024-09-26,225.60876888531146,226.7998372114188,223.73283210674714,225.82713317871094,36636700,AAPL
2024-09-27,226.76013618443497,227.81224676693589,225.60876359989413,226.09510803222656,34026000,AAPL
2024-09-30,228.3284048450643,231.26638793945312,227.9413072049674,231.26638793945312,54541900,AAPL
2024-10-01,227.81223995033787,227.94126237482303,222.07524777401002,224.52687072753906,63285000,AAPL
2024-10-02,224.20925878310885,225.67824256269316,221.360617941662,225.09263610839844,32880600,AAPL
2024-10-03,223.4648504260935,225.12242301224842,221.65839996957536,223.99090576171875,34044200,AAPL
2024-10-04,226.20430944090455,226.30357145139808,222.46237094034984,225.1125030517578,37245100,AAPL
2024-10-07,222.8295863298211,224.01073444452058,219.68317483471031,220.04049682617188,39505400,AAPL
2024-10-08,222.63110049734397,224.298593199742,221.58890998571715,224.0901641845703,31855700,AAPL
2024-10-09,223.55414845411647,228.04052116337735,223.157130753936,227.8320770263672,33591100,AAPL
2024-10-10,226.0851807689644,227.7923841625437,225.47971892420364,227.33580017089844,28183500,AAPL
2024-10-11,227.5938974682738,227.70307961960657,225.6484741750507,225.85691833496094,31759200,AAPL
2024-10-14,226.99837948655343,230.00583388937218,226.89913261283547,229.57904052734375,39882100,AAPL
2024-10-15,231.87182665313995,235.7229623804217,230.6410474142004,232.11004638671875,64751400,AAPL
2024-10-16,229.87676649695567,230.39288648800354,228.1298522341637,230.055419921875,34082200,AAPL
2024-10-17,231.6931740173152,232.11006236609234,228.80483716826546,230.42269897460938,32993800,AAPL
2024-10-18,234.4227083661851,234.4227083661851,232.2688559498539,233.25149536132812,46431500,AAPL
2024-10-21,232.7055644739604,235.08771628667242,232.7055644739604,234.720458984375,36254500,AAPL
2024-10-22,232.14971356587586,234.4623787465114,230.86931862526646,234.1050567626953,38846600,AAPL
2024-10-23,232.33833466706656,233.39044533687328,226.0653512199268,229.04302978515625,52287000,AAPL
2024-10-24,228.26882480795348,229.10258628095696,226.71051430099084,228.8544464111328,31109500,AAPL
2024-10-25,228.03064447383113,231.48474758840828,227.86191116183892,229.68821716308594,38802300,AAPL
2024-10-28,231.58396917060392,232.983466430484,230.8196941830456,231.66336059570312,36087100,AAPL
